id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a
2805610925,AttemptSaved,7877,1285291,Luciano Rodriguez,82.597572816,36.97375,6,,True,True,92.2,35.0675,32.3225,1.2199999940000001,0.12994612753391266,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 1.4437830687830693, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Luciano,Rodriguez,Luciano Rodriguez,#044879,3,Bahia,h
2805611971,AttemptSaved,6368,1712392,Elkin Rivero,76.8538834968,23.0183439533,15,,True,True,87.7485294116,27.362380952,36.135000000000005,1.2199999940000001,0.01992182247340679,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.4351851851851839, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Elkin,Rivero,Elkin Rivero,#008449,3,Atlético Nacional,a
2805612571,AttemptSaved,6368,579660,Alfredo Morelos,79.3315533992,35.9825,23,,False,True,97.6666666661,34.68625,36.2875,0.8539999958000001,0.025305289775133133,0.07017099112272263,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.39484126984126955, 'y': 0.22592592481481483, 'zoomRatio': 1}",False,False,535789.0,Alfredo,Morelos,Alfredo Morelos,#008449,3,Atlético Nacional,a
2805613189,Miss,7877,934675,Jean Lucas,85.3867647052,43.3701910778,31,,False,False,95.2543859636,41.888125,42.1771875,0.0898947364,0.017940416932106018,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.010993356383230783, 'zoomRatio': 0.4622616272404172}",False,False,,Jean,Lucas,Jean Lucas,#044879,3,Bahia,h
2805613203,AttemptSaved,7877,1285291,Luciano Rodriguez,96.2192982446,40.049285714999996,31,,False,True,103.9568965518,34.0,35.525000000000006,0.0385263156,0.23003925383090973,0.4367519021034241,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.5965608465608451, 'y': 0.010192146984126984, 'zoomRatio': 1}",False,True,50065.0,Luciano,Rodriguez,Luciano Rodriguez,#044879,3,Bahia,h
2805613273,Miss,7877,1116234,Caio Alexandre,94.7719298231,52.8988535026,32,,False,False,99.59482758659999,0.0,2.2301421813999998,0.0898947364,0.034242432564496994,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.0028295605511765988, 'zoomRatio': 0.11898070245019979}",False,True,,Caio,Alexandre,Caio Alexandre,#044879,3,Bahia,h
2805613965,Miss,6368,320618,Mateus Uribe,81.6966019424,30.72125,36,,False,False,,,32.24625,4.5846896616,0.06116415560245514,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.2590633075282929, 'y': 0.6772486772486772, 'zoomRatio': 0.5583802152284811}",False,False,,Mateus,Uribe,Mateus Uribe,#008449,3,Atlético Nacional,a
2805614335,AttemptSaved,6368,922875,Jorman Campuzano,73.8131067984,21.9673885388,38,,False,True,103.4827586208,32.9325,31.941249999999997,1.4254736772,0.015882330015301704,0.058705031871795654,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.544642857142858, 'y': 0.3771094384126984, 'zoomRatio': 1}",False,False,535789.0,Jorman,Campuzano,Jorman Campuzano,#008449,3,Atlético Nacional,a
2805615777,Miss,7877,638782,David Duarte,92.0,30.22,45,0.0,False,False,,,38.872619049,4.940965524800001,0.01164577528834343,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0.332119443232599, 'y': 0.6772486772486772, 'zoomRatio': 0.518117357255518}",False,True,,David,Duarte,David Duarte,#044879,3,Bahia,h
2805615999,Miss,7877,575733,Cauly Oliveira Souza,101.8706896554,29.715714284,45,1.0,False,False,,,41.888125,6.1488275976,0.42128658294677734,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.13118035309570397, 'y': 0.6772486772486772, 'zoomRatio': 0.41633953129523665}",False,True,,Cauly Oliveira,Souza,Cauly Oliveira Souza,#044879,3,Bahia,h
2805618995,AttemptSaved,6368,579660,Alfredo Morelos,89.8,44.000764326500004,47,,True,True,91.4,42.9865625,33.77125,1.2199999940000001,0.0325474739074707,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.0605158730158726, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Alfredo,Morelos,Alfredo Morelos,#008449,3,Atlético Nacional,a
2805619001,Miss,6368,889538,Camilo Candido,78.5432038848,35.3725,47,,False,False,,,40.30142857199999,2.6555862072000003,0.0369412936270237,0.0,LeftFoot,RegularPlay,SecondHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.42142605868769717, 'zoomRatio': 0.5998639763681837}",False,False,,Camilo,Candido,Camilo Candido,#008449,3,Atlético Nacional,a
2805619289,AttemptSaved,7877,1285291,Luciano Rodriguez,75.38980582720001,34.68625,49,,False,True,103.4827586208,32.779999999999994,33.466249999999995,1.2199999940000001,0.03989848122000694,0.018130317330360413,RightFoot,FreeKick,SecondHalf,False,"{'x': 1.141203703703705, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,50065.0,Luciano,Rodriguez,Luciano Rodriguez,#044879,3,Bahia,h
2805619409,Miss,7877,575733,Cauly Oliveira Souza,79.8946601952,30.568749999999998,50,,False,False,,,41.5990625,0.1797894728,0.036545056849718094,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.02365942809392605, 'zoomRatio': 0.4974297816342475}",False,False,,Cauly Oliveira,Souza,Cauly Oliveira Souza,#044879,3,Bahia,h
2805619885,Miss,7877,638782,David Duarte,96.8947368413,40.049285714999996,52,,False,False,,,40.46952381,1.5153684136,0.041906584054231644,0.0,Header,FromCorner,SecondHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.23423183190974306, 'zoomRatio': 0.5842779331234892}",False,True,,David,Duarte,David Duarte,#044879,3,Bahia,h
2805621037,AttemptSaved,6368,925847,Felipe Roman,76.7412621376,30.316,58,,True,True,86.78235294080001,31.254999999999995,33.466249999999995,1.2199999940000001,0.02742411009967327,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.141203703703705, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Felipe,Roman,Felipe Roman,#008449,3,Atlético Nacional,a
2805621135,AttemptSaved,7877,1340527,Erick Pulga,101.3965517244,38.78857143,59,,False,True,103.8620689656,37.05,36.135000000000005,0.40452631380000004,0.27741602063179016,0.3261696398258209,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.4351851851851839, 'y': 0.10701754333333334, 'zoomRatio': 1}",False,True,50065.0,Erick,Pulga,Erick Pulga,#044879,3,Bahia,h
2805621577,AttemptSaved,6368,177507,Edwin Cardona,75.1645631088,33.61875,63,,False,True,104.051724138,34.38125,35.9825,1.0145263108,0.03511137515306473,0.05168986693024635,RightFoot,FreeKick,SecondHalf,False,"{'x': 0.47552910052910013, 'y': 0.2683932039153439, 'zoomRatio': 1}",False,False,535789.0,Edwin,Cardona,Edwin Cardona,#008449,3,Atlético Nacional,a
