id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a
2814539071,Miss,213596,856317,Santiago Moyano,81.5839805832,17.7635668808,7,,False,False,,,44.91159235240001,0.5329473658000001,0.008352195844054222,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.04884230904051124, 'zoomRatio': 0.34642056612100147}",False,False,,Santiago,Moyano,Santiago Moyano,#000000,5,Central Córdoba (Santiago del Estero),a
2814539481,AttemptSaved,213596,1607569,Matias Perello,87.1044117644,24.84,8,,True,True,88.7,25.591562500000002,33.77125,1.7850526228,0.08483360707759857,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.0605158730158726, 'y': 0.4722361435978836, 'zoomRatio': 1}",False,False,1416691.0,Matias,Perello,Matias Perello,#000000,5,Central Córdoba (Santiago del Estero),a
2814540563,AttemptSaved,213596,684991,Braian Cufré,86.99705882319999,25.880625000000002,14,,False,True,104.81034482759999,33.31375,35.3725,0.44947368200000004,0.10135035216808319,0.1283985674381256,LeftFoot,FreeKick,FirstHalf,False,"{'x': 0.6369047619047613, 'y': 0.11890838148148149, 'zoomRatio': 1}",False,False,1416691.0,Braian,Cufré,Braian Cufré,#000000,5,Central Córdoba (Santiago del Estero),a
2814541069,AttemptSaved,1896,104382,Roberto Rosales,73.3626213616,17.2030573264,17,,False,True,102.8189655174,33.8475,31.865,2.1959999892,0.026093825697898865,0.1955171525478363,RightFoot,FreeKick,FirstHalf,False,"{'x': 1.5648148148148162, 'y': 0.5809523780952381, 'zoomRatio': 1}",False,False,246172.0,Roberto,Rosales,Roberto Rosales,#d9a000,5,Deportivo Táchira,h
2814541213,Miss,213596,1607569,Matias Perello,75.840291264,34.68625,17,,False,False,,,39.292857143999996,0.44305262940000006,0.04427434876561165,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.08370764926127777, 'zoomRatio': 0.7141700403316238}",False,False,,Matias,Perello,Matias Perello,#000000,5,Central Córdoba (Santiago del Estero),a
2814541757,Goal,213596,615932,Jonathan Galvan,98.92105263139999,34.0,20,,False,True,,,32.17,1.3805263090000002,0.37583470344543457,0.7849805355072021,Header,FromCorner,FirstHalf,False,"{'x': 1.4841269841269837, 'y': 0.3652186002645503, 'zoomRatio': 1}",False,True,1416691.0,Jonathan,Galvan,Jonathan Galvan,#000000,5,Central Córdoba (Santiago del Estero),a
2814545993,Miss,213596,1607569,Matias Perello,65.92961165439999,6.9527962126,40,,False,False,100.25862069,22.808152870399997,26.574375,0.802631575,0.015566568821668625,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 2, 'y': 0.10808943018264461, 'zoomRatio': 0.5090480599276158}",False,False,,Matias,Perello,Matias Perello,#000000,5,Central Córdoba (Santiago del Estero),a
2814547039,Miss,1896,306131,Lucas Cano,83.8364077672,22.878216564699997,45,0.0,False,False,,,45.752356684000006,1.1622105206000002,0.03161421790719032,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.09889169907362212, 'zoomRatio': 0.3216376171722392}",False,False,,Lucas,Cano,Lucas Cano,#d9a000,5,Deportivo Táchira,h
2814548361,AttemptSaved,213596,1607569,Matias Perello,85.70882352880001,36.51625,45,4.0,False,True,104.3362068966,34.305,32.551249999999996,1.8685263066000002,0.04343663156032562,0.1363198161125183,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3832671957671967, 'y': 0.49431912873015876, 'zoomRatio': 1}",False,False,1416691.0,Matias,Perello,Matias Perello,#000000,5,Central Córdoba (Santiago del Estero),a
2814550991,AttemptSaved,213596,1212175,Nicolas Quagliata,77.9800970888,34.0,46,,False,True,104.4310344828,34.38125,34.533750000000005,0.20547368320000003,0.022142255678772926,0.012951066717505455,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.8587962962962951, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,False,1416691.0,Nicolas,Quagliata,Nicolas Quagliata,#000000,5,Central Córdoba (Santiago del Estero),a
2814551677,AttemptSaved,213596,1607569,Matias Perello,90.7,20.6361783471,49,,False,True,104.525862069,32.779999999999994,32.09375,0.160526315,0.055802199989557266,0.06861267238855362,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.5042989417989419, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,1416691.0,Matias,Perello,Matias Perello,#000000,5,Central Córdoba (Santiago del Estero),a
