id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a
2814882757,Miss,10080,1357993,Santiago Solari,102.06034482780001,30.22,2,,False,False,,,30.492499999999996,5.305931043199999,0.4511721730232239,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 1.4476970612903235, 'y': 0.6772486772486772, 'zoomRatio': 0.48247894274480957}",False,True,,Santiago,Solari,Santiago Solari,#2FB1E7,5,Racing Club,h
2814884097,AttemptSaved,7815,49939,Arturo Vidal,76.5160194192,16.9228025492,8,,True,True,80.23252427279999,19.164840766799998,35.75375,1.2199999940000001,0.010417629964649677,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.5360449735449745, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Arturo,Vidal,Arturo Vidal,#000000,5,Colo-Colo,a
2814885663,Miss,7815,564613,Javier Correa,95.640350876,36.8975,14,,False,False,,,33.77125,4.2197241432000006,0.3649097979068756,0.0,RightFoot,FastBreak,FirstHalf,False,"{'x': 1.0367134508473226, 'y': 0.6772486772486772, 'zoomRatio': 0.6066747287557619}",False,True,,Javier,Correa,Javier Correa,#000000,5,Colo-Colo,a
2814886745,Miss,7815,1280756,Lucas Cepeda,84.85,16.362292994799997,17,,False,False,93.9,37.05,54.7503317458,0.3595789456,0.0069371173158288,0.0,LeftFoot,IndividualPlay,FirstHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.01732882876307658, 'zoomRatio': 0.1821657622782391}",False,False,,Lucas,Cepeda,Lucas Cepeda,#000000,5,Colo-Colo,a
2814887793,Miss,7815,564613,Javier Correa,97.0877192975,19.445095544,19,,False,False,100.3534482762,68.0,67.5408530803,0.3595789456,0.03512239456176758,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.010720626119411266, 'zoomRatio': 0.11269838578495067}",False,True,,Javier,Correa,Javier Correa,#000000,5,Colo-Colo,a
2814891425,AttemptSaved,10080,882933,Adrian Martinez,74.3762135944,41.8303125,27,,True,True,79.3315533992,40.805714286,34.61,1.2199999940000001,0.013540763407945633,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.8386243386243388, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Adrian,Martinez,Adrian Martinez,#2FB1E7,5,Racing Club,h
2814893769,Miss,7815,1280756,Lucas Cepeda,91.0,15.661656051799998,31,,False,False,,,28.707142856,0.0898947364,0.023416869342327118,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.016984160719679547, 'zoomRatio': 0.7141700403316238}",False,True,,Lucas,Cepeda,Lucas Cepeda,#000000,5,Colo-Colo,a
2814895429,AttemptSaved,10080,882933,Adrian Martinez,85.70882352880001,35.90625,35,,False,True,100.3534482762,34.838750000000005,34.99125,2.1510526210000003,0.04390633851289749,0.10100290179252625,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.73776455026455, 'y': 0.56906153994709, 'zoomRatio': 1}",False,False,424153.0,Adrian,Martinez,Adrian Martinez,#2FB1E7,5,Racing Club,h
2814896065,Miss,10080,1357993,Santiago Solari,93.6,31.865,36,,False,False,100.3534482762,36.36375,41.888125,1.1622105206000002,0.09303055703639984,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.1473367271182949, 'zoomRatio': 0.47920133111480856}",False,True,,Santiago,Solari,Santiago Solari,#2FB1E7,5,Racing Club,h
2814896087,Goal,10080,882933,Adrian Martinez,101.3965517244,36.135000000000005,36,,False,True,,,35.220000000000006,1.0145263108,0.29132500290870667,0.6315609216690063,Header,FromCorner,FirstHalf,False,"{'x': 0.6772486772486757, 'y': 0.2683932039153439, 'zoomRatio': 1}",False,True,424153.0,Adrian,Martinez,Adrian Martinez,#2FB1E7,5,Racing Club,h
