id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a
2815120013,AttemptSaved,6398,831684,Kevin Quevedo,86.6749999996,48.2746496788,1,,False,True,103.4827586208,34.99125,33.2375,1.5025263084,0.021473117172718048,0.12453866750001907,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.2017195767195774, 'y': 0.39749373238095237, 'zoomRatio': 1}",False,False,262597.0,Kevin,Quevedo,Kevin Quevedo,#153163,5,Alianza Lima,a
2815120711,Miss,10101,1200762,Augusto Schott,95.9298245603,29.463571426999998,4,,False,False,97.7631578942,34.68625,47.994394901599996,0.802631575,0.043646302074193954,0.0,Header,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.05735378918800085, 'zoomRatio': 0.27010814162231683}",False,True,,Augusto,Schott,Augusto Schott,#1B2F62,5,Talleres de Córdoba,h
2815121617,AttemptSaved,10101,168390,Ruben Botta,90.1,26.6321875,6,,False,True,103.2931034484,32.9325,31.78875,0.0834736838,0.05742818862199783,0.5267832279205322,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.5849867724867723, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,True,493691.0,Ruben,Botta,Ruben Botta,#1B2F62,5,Talleres de Córdoba,h
2815121805,Miss,6398,831684,Kevin Quevedo,94.1929824545,43.5803821607,7,,False,False,97.0877192975,37.431250000000006,17.6935031865,0.5329473658000001,0.048014476895332336,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.032683130650035, 'zoomRatio': 0.23180944645759669}",False,True,,Kevin,Quevedo,Kevin Quevedo,#153163,5,Alianza Lima,a
2815122737,Miss,6398,1134464,Erick Noriega,95.54385964789999,31.4075,10,,False,False,102.72413793119999,20.7763057357,17.5533757979,0.44305262940000006,0.0294464323669672,0.0,Header,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.026938818808994774, 'zoomRatio': 0.22983439966466485}",False,True,,Erick,Noriega,Erick Noriega,#153163,5,Alianza Lima,a
2815122771,AttemptSaved,6398,1134464,Erick Noriega,78.9936893216,32.551249999999996,10,,False,True,103.2931034484,33.61875,35.90625,0.28252631440000003,0.014802851714193821,0.06260594725608826,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.49570105820105825, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,False,262597.0,Erick,Noriega,Erick Noriega,#153163,5,Alianza Lima,a
2815122825,AttemptSaved,6398,458861,Eryc Castillo,85.70882352880001,36.51625,10,,True,True,92.1,36.05875,35.0675,1.2199999940000001,0.06453514099121094,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.7175925925925919, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Eryc,Castillo,Eryc Castillo,#153163,5,Alianza Lima,a
2815125809,Post,10101,994916,Federico Girotti,94.5789473669,32.551249999999996,19,,False,False,,,31.026249999999997,2.458,0.02792876772582531,0.0,Header,FromCorner,FirstHalf,False,"{'x': 1.7867063492063497, 'y': 0.6502645502645503, 'zoomRatio': 1}",False,True,,Federico,Girotti,Federico Girotti,#1B2F62,5,Talleres de Córdoba,h
2815127383,Goal,10101,168390,Ruben Botta,76.966504856,29.211428570000002,23,,False,True,,,31.026249999999997,1.3034736778000002,0.02408614754676819,0.33738547563552856,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 1.7867063492063497, 'y': 0.34483430629629636, 'zoomRatio': 1}",False,False,493691.0,Ruben,Botta,Ruben Botta,#1B2F62,5,Talleres de Córdoba,h
2815129157,AttemptSaved,10101,168390,Ruben Botta,79.55679611760002,26.0540625,30,,True,True,90.2,29.211428570000002,33.466249999999995,1.2199999940000001,0.027338672429323196,0.0,LeftFoot,FreeKick,FirstHalf,False,"{'x': 1.141203703703705, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Ruben,Botta,Ruben Botta,#1B2F62,5,Talleres de Córdoba,h
2815130727,AttemptSaved,6398,1710851,Piero Cari,80.79563106879999,34.99125,35,,False,True,102.06034482780001,33.61875,33.31375,0.1219999994,0.04216577112674713,0.015102962963283062,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.1815476190476193, 'y': 0.032275132116402115, 'zoomRatio': 1}",False,False,262597.0,Piero,Cari,Piero Cari,#153163,5,Alianza Lima,a
2815131579,Goal,10101,1088084,Valentin Depietri,100.1637931038,20.0756687927,38,,False,True,,,32.551249999999996,0.160526315,0.07766436785459518,0.09242227673530579,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3832671957671967, 'y': 0.042467279100529096, 'zoomRatio': 1}",False,True,493691.0,Valentin,Depietri,Valentin Depietri,#1B2F62,5,Talleres de Córdoba,h
2815132333,AttemptSaved,6398,831684,Kevin Quevedo,95.0614035074,19.304968155399997,40,,False,True,103.19827586219999,30.797499999999996,30.797499999999996,0.28252631440000003,0.01771857962012291,0.2545319199562073,RightFoot,SetPiece,FirstHalf,False,"{'x': 1.8472222222222223, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,True,262597.0,Kevin,Quevedo,Kevin Quevedo,#153163,5,Alianza Lima,a
2815133073,AttemptSaved,6398,1710851,Piero Cari,87.6411764704,30.95,43,,True,True,100.5431034486,32.779999999999994,33.39,1.2199999940000001,0.0617598332464695,0.0,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.1613756613756612, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Piero,Cari,Piero Cari,#153163,5,Alianza Lima,a
2815133103,AttemptSaved,6398,1134464,Erick Noriega,99.50000000040001,29.379523808000002,43,,True,True,102.629310345,31.1025,32.9325,1.2199999940000001,0.026777170598506927,0.0,Header,FromCorner,FirstHalf,False,"{'x': 1.282407407407408, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Erick,Noriega,Erick Noriega,#153163,5,Alianza Lima,a
