id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,matchRound,teamName,h_a
2811973147,AttemptSaved,4409,1415328,Cesar Inga,90.5,31.559999999999995,5,,False,True,101.681034483,32.6275,33.00875,0.2439999988,0.13691109418869019,0.07732617110013962,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.26223544973545, 'y': 0.06455026423280423, 'zoomRatio': 1}",False,True,923383.0,Cesar,Inga,Cesar Inga,#b8a77a,4,Universitario de Deportes,h
2811974427,AttemptSaved,4409,1130861,Jose Carabali,79.3315533992,49.7459872591,10,,True,True,81.471359224,48.554904456,34.07625,1.2199999940000001,0.013813254423439503,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Jose,Carabali,Jose Carabali,#b8a77a,4,Universitario de Deportes,h
2811975401,AttemptSaved,4409,1415328,Cesar Inga,90.2,49.535796176199995,13,,False,True,102.06034482780001,37.672,33.8475,0.9759999952,0.030917495489120483,0.013485012575984001,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0403439153439162, 'y': 0.2582010569312169, 'zoomRatio': 1}",False,True,923383.0,Cesar,Inga,Cesar Inga,#b8a77a,4,Universitario de Deportes,h
2811975573,Miss,4409,304875,Rodrigo Urena,77.3043689336,38.78857143,14,,False,False,,,40.721666666999994,4.2197241432000006,0.021385692059993744,0.0,RightFoot,IndividualPlay,FirstHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.6277794410598677, 'zoomRatio': 0.5623605256353905}",False,False,,Rodrigo,Urena,Rodrigo Urena,#b8a77a,4,Universitario de Deportes,h
2811976389,Miss,4409,1133998,Alex Valera,91.6,35.9825,17,,False,False,,,14.610700637299999,0.3595789456,0.048096444457769394,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.018545226357778402, 'zoomRatio': 0.19495289279362735}",False,True,,Alex,Valera,Alex Valera,#b8a77a,4,Universitario de Deportes,h
2811979213,AttemptSaved,192875,1607567,Thiago Santamaria,77.529611652,31.1025,28,,False,True,103.577586207,33.31375,35.220000000000006,0.28252631440000003,0.021751713007688522,0.03235125169157982,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.6772486772486757, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,False,343431.0,Thiago,Santamaria,Thiago Santamaria,#201818,4,Independiente del Valle,a
2811979229,Goal,192875,834759,Claudio Spinelli,101.8706896554,33.5425,28,,False,True,,,32.551249999999996,1.4639999928,0.827547550201416,0.9262776970863342,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3832671957671967, 'y': 0.38730158539682535, 'zoomRatio': 1}",False,True,343431.0,Claudio,Spinelli,Claudio Spinelli,#201818,4,Independiente del Valle,a
2811980185,AttemptSaved,4409,315926,Edison Flores,87.1044117644,32.39875,34,,False,True,104.051724138,32.779999999999994,36.5925,1.8685263066000002,0.1869325488805771,0.7490949630737305,LeftFoot,FreeKick,FirstHalf,False,"{'x': 0.31415343915343885, 'y': 0.49431912873015876, 'zoomRatio': 1}",False,False,923383.0,Edison,Flores,Edison Flores,#b8a77a,4,Universitario de Deportes,h
2811980191,Goal,4409,1130861,Jose Carabali,98.14912280659999,37.744,34,,False,True,,,33.161249999999995,0.4879999976,0.6906747221946716,0.987079381942749,LeftFoot,SetPiece,FirstHalf,False,"{'x': 1.2218915343915355, 'y': 0.12910052846560846, 'zoomRatio': 1}",False,True,923383.0,Jose,Carabali,Jose Carabali,#b8a77a,4,Universitario de Deportes,h
2811980449,Miss,4409,1130861,Jose Carabali,92.1,40.805714286,36,,False,False,97.4736842099,34.533750000000005,23.2985987305,0.3595789456,0.24450771510601044,0.0,LeftFoot,FastBreak,FirstHalf,False,"{'x': 2, 'y': 0.03360110854125561, 'zoomRatio': 0.3532247698040589}",False,True,,Jose,Carabali,Jose Carabali,#b8a77a,4,Universitario de Deportes,h
