id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,isFromInsideBox,keeperId,firstName,lastName,fullName,teamColor,teamName
2795218637,Miss,10076,949735,Facundo Colidio,83.94902912639999,47.4338853472,8,,False,False,,,30.316,6.8787586344000005,0.014511357992887497,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.3627084855844416, 'y': 0.6772486772486772, 'zoomRatio': 0.372160172505209}",False,False,,Facundo,Colidio,Facundo Colidio,#D01028,River Plate
2795221171,AttemptSaved,10076,949735,Facundo Colidio,95.640350876,45.8924840726,12,,False,True,101.58620689680001,39.124761905999996,34.68625,1.1814736784,0.09017656743526459,0.08711917698383331,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.8184523809523807, 'y': 0.31255917417989415, 'zoomRatio': 1}",False,True,343431.0,Facundo,Colidio,Facundo Colidio,#D01028,River Plate
2795221471,AttemptSaved,10076,469616,Maximiliano Meza,88.8,44.981656046699996,12,,True,True,90.6,43.790573243599994,34.07625,1.2199999940000001,0.025439932942390442,0.0,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0.9798280423280419, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Maximiliano,Meza,Maximiliano Meza,#D01028,River Plate
2795223825,Miss,10076,469616,Maximiliano Meza,96.50877192889999,38.452380954,17,,False,False,100.6379310348,31.941249999999997,17.4132484093,0.7127368386,0.03446172550320625,0.0,Header,FromCorner,FirstHalf,False,"{'x': 2, 'y': 0.042970248556662725, 'zoomRatio': 0.2278927238603731}",False,True,,Maximiliano,Meza,Maximiliano Meza,#D01028,River Plate
2795223853,Goal,10076,447556,Paulo Diaz,99.01754385950001,32.39875,17,,False,True,,,36.135000000000005,0.20547368320000003,0.24252337217330933,0.9063346982002258,RightFoot,FromCorner,FirstHalf,False,"{'x': 0.4351851851851839, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,True,343431.0,Paulo,Diaz,Paulo Diaz,#D01028,River Plate
2795224541,Miss,10076,949735,Facundo Colidio,100.6379310348,31.1025,17,,False,False,101.0172413796,33.695,43.3701910778,0.1797894728,0.5280308127403259,0.0,LeftFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.019187385967609553, 'zoomRatio': 0.4034069282701858}",False,True,,Facundo,Colidio,Facundo Colidio,#D01028,River Plate
2795225957,Miss,10076,949735,Facundo Colidio,99.1140350876,30.279999999999998,21,,False,False,,,33.00875,3.4984827616,0.2059473991394043,0.0,Header,RegularPlay,FirstHalf,False,"{'x': 1.191889683919931, 'y': 0.6772486772486772, 'zoomRatio': 0.7317457807993334}",False,True,,Facundo,Colidio,Facundo Colidio,#D01028,River Plate
2795227471,AttemptSaved,4409,389888,Gabriel Costa,79.21893204,34.4575,24,,True,True,88.8,34.68625,35.143750000000004,1.2199999940000001,0.10600367933511734,0.0,RightFoot,FreeKick,FirstHalf,False,"{'x': 0.6974206349206338, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,False,,Gabriel,Costa,Gabriel Costa,#b8a77a,Universitario de Deportes
2795227943,AttemptSaved,10076,469616,Maximiliano Meza,78.3179611664,40.385476190999995,25,,False,True,103.2931034484,34.1525,33.92375,1.3805263090000002,0.011132821440696716,0.008871275931596756,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.0201719576719581, 'y': 0.3652186002645503, 'zoomRatio': 1}",False,False,343431.0,Maximiliano,Meza,Maximiliano Meza,#D01028,River Plate
2795237701,Miss,4409,263619,Andy Polo,83.2733009712,21.2667515958,45,1.0,False,False,,,41.425625,2.2281052522,0.02114509977400303,0.0,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.3000562581870215, 'zoomRatio': 0.5090480599276158}",False,False,,Andy,Polo,Andy Polo,#b8a77a,Universitario de Deportes
2795243587,AttemptSaved,4409,389888,Gabriel Costa,86.24558823480001,31.941249999999997,50,,False,True,103.103448276,34.305,33.00875,1.4254736772,0.037438634783029556,0.09930817037820816,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.26223544973545, 'y': 0.3771094384126984, 'zoomRatio': 1}",False,False,206758.0,Gabriel,Costa,Gabriel Costa,#b8a77a,Universitario de Deportes
2795249011,Miss,4409,1133998,Alex Valera,61.446666666599995,32.39875,66,,False,False,,,27.110238095,6.635448288800001,0.020235136151313782,0.0,LeftFoot,FastBreak,SecondHalf,False,"{'x': 1.703205259634903, 'y': 0.6772486772486772, 'zoomRatio': 0.38580663861415876}",False,False,,Alex,Valera,Alex Valera,#b8a77a,Universitario de Deportes
2795251073,Post,10076,469616,Maximiliano Meza,77.9800970888,37.708,71,,False,False,,,37.708,0.5714736814000001,0.017136000096797943,0.0,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.019047619047619535, 'y': 0.15118351359788362, 'zoomRatio': 1}",False,False,,Maximiliano,Meza,Maximiliano Meza,#D01028,River Plate
2795255983,AttemptSaved,10076,638771,Lucas Martinez Quarta,93.6,30.291999999999998,83,,False,True,103.103448276,34.305,31.636249999999997,1.6245263078,0.027110284194350243,0.30672916769981384,Header,SetPiece,SecondHalf,False,"{'x': 1.6253306878306886, 'y': 0.42976886449735446, 'zoomRatio': 1}",False,True,343431.0,Lucas Martinez,Quarta,Lucas Martinez Quarta,#D01028,River Plate
2795256679,AttemptSaved,4409,1133998,Alex Valera,92.9,35.9825,85,,True,True,94.0,35.525000000000006,30.645,1.2199999940000001,0.02946111187338829,0.0,Header,RegularPlay,SecondHalf,False,"{'x': 1.8875661375661386, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,True,,Alex,Valera,Alex Valera,#b8a77a,Universitario de Deportes
2795256747,AttemptSaved,4409,1133998,Alex Valera,101.1120689658,40.721666666999994,85,,False,True,101.9655172416,39.124761905999996,35.6775,1.1365263102,0.14616759121418,0.21722951531410217,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.5562169312169307, 'y': 0.30066833603174603, 'zoomRatio': 1}",False,True,206758.0,Alex,Valera,Alex Valera,#b8a77a,Universitario de Deportes
